"LOCATION_NAME","TSN","LATITUDE","LONGITUDE","PHONE","EFA_ID","ADDRESS","FACILITIES","ACCESSIBILITY","TRANSPORT_MODE"
"Abbotsford Wharf","20461","-33.84367442","151.1281726","","10102011","Great North Rd, Abbotsford NSW 2046","Bike lockers | Emergency help point | Opal card top up or single trip ticket machine | Toilets","This location is wheelchair accessible | Hearing loop | PA system for announcements","Bus, Ferry"
"Aberdeen Station","233610","-32.16710358","150.8920522","02 6543 1018","10101192","New England Hwy, Aberdeen NSW 2336","Emergency help point | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","This location is wheelchair accessible | Tactile surfaces | PA system for announcements","Train"
"Adamstown Station","228920","-32.93372988","151.7200807","02 4962 9295","10101159","Park Ave, Adamstown NSW 2289","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales","This location is wheelchair accessible | Level crossing | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train, Bus"
"Albion Park Station","252710","-34.56264671","150.7984997","02 4223 5416","10101381","Princes Hwy, Albion Park Rail NSW 2527","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","This location is wheelchair accessible | Level crossing | Stairs | Tactile surfaces | PA system for announcements","Train, Bus"
"Albury Station","26401","-36.084068","146.924691","13 22 32","10155026","Railway Pl, East Albury NSW 2640","Commuter car park | Emergency help point | Payphone | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | PA system for announcements | Short platforms, please see the train guard","Train, Coach, Taxi"
"Allawah Station","222020","-33.96958391","151.11433","02 9563 7415","10101338","Railway Pde, Allawah NSW 2218","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus"
"Alstonville Coach Stop","24771","-28.8418","153.44001","","10150208","Main St at Daley St, Alstonville NSW 2477","","","Coach"
"Ariah Park Coach Stop","26651","-34.347706","147.221084","","10150172","Ariah Park Post Office, Coolamon St, Ariah Park NSW 2665","","","Coach"
"Arlington Light Rail","220366","-33.90184127","151.1380613","","10101460","Constitution Rd, Dulwich Hill NSW 2203","Bike racks | Emergency help point | Kiss and ride stopping area | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Hearing loop | Level crossing | Stairs | Tactile surfaces | PA system for announcements","Light rail"
"Armidale Station","23501","-30.515373","151.651753","13 22 32","10155025","Brown St, Armidale NSW 2350","Bike racks | Commuter car park | Payphone | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | PA system for announcements","Train, Coach, Taxi"
"Arncliffe Station","220520","-33.93645619","151.1472995","02 9563 7431","10101333","Firth St, Arncliffe NSW 2205","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Artarmon Station","206410","-33.80890264","151.1852939","02 9379 1140","10101116","Hampden Rd, Artarmon NSW 2064","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Stairs | Tactile surfaces | PA system for announcements","Train, Taxi"
"Ashfield Station","213110","-33.88755061","151.1255042","02 9752 8356","10101209","Brown St, Ashfield NSW 2131","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Asquith Station","207730","-33.68876996","151.1080252","02 9847 8495","10101128","Haldane St, Asquith NSW 2077","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Hearing loop | Wheelchair ramp boarding assistance | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train"
"Auburn Station","214410","-33.8492696","151.032867","02 9848 9206","10101219","Rawson St, Auburn NSW 2144","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Austinmer Station","251540","-34.30641046","150.9293128","02 4223 5573","10101363","Railway Ave, Austinmer NSW 2515","Bike racks | Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Awaba Station","228310","-33.0129204","151.5416347","02 4349 9241","10101150","Adelaide St, Awaba NSW 2283","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train, Bus"
"Ballina Coach Stop","24782","-28.86933","153.560592","","10150141","Tamar St before Moon St, Ballina NSW 2478","","","Coach, Bus"
"Ballina West Coach Stop","24781","-28.864101","153.533926","","10150143","Westower Tavern, River St, West Ballina NSW 2478","","","Coach, Bus"
"Balmain East Wharf","20414","-33.85696725","151.1959756","","10102010","Darling St, Balmain East NSW 2041","Bike racks | Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Hearing loop | Tactile surfaces | PA system for announcements","Bus, Ferry"
"Balmain Wharf","20413","-33.85471605","151.1863604","","10102008","Thames St, Balmain NSW 2041","Bike racks | Emergency help point | Opal card top up or single trip ticket machine | Wheelchair accessible car space","This location is wheelchair accessible | Hearing loop | PA system for announcements","Ferry"
"Banksia Station","221610","-33.94528645","151.1404316","02 9563 7429","10101334","Hattersley St, Banksia NSW 2216","Bike racks | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Taxi rank","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
